code,date,Euro_super_95
ES,2016-08-29,1.157
ES,2016-08-22,1.145
ES,2016-08-15,1.132
ES,2016-08-08,1.122
ES,2016-08-01,1.134
ES,2016-07-25,1.144
ES,2016-07-18,1.15
ES,2016-07-11,1.168
ES,2016-07-04,1.183
ES,2016-06-27,1.184
ES,2016-06-20,1.179
ES,2016-06-13,1.186
ES,2016-06-06,1.192
ES,2016-05-30,1.19
ES,2016-05-23,1.178
ES,2016-05-16,1.157
ES,2016-05-09,1.16
ES,2016-05-02,1.164
ES,2016-04-25,1.152
ES,2016-04-18,1.148
ES,2016-04-11,1.127
ES,2016-04-04,1.136
ES,2016-03-21,1.116
ES,2016-03-14,1.105
ES,2016-03-07,1.078
ES,2016-02-29,1.065
ES,2016-02-22,1.07
ES,2016-02-15,1.07
ES,2016-02-08,1.098
ES,2016-02-01,1.104
ES,2016-01-25,1.095
ES,2016-01-18,1.11
ES,2016-01-11,1.132
ES,2016-01-04,1.132
ES,2015-12-14,1.141
ES,2015-12-07,1.162
ES,2015-11-30,1.166
ES,2015-11-23,1.157
ES,2015-11-16,1.17
ES,2015-11-09,1.172
ES,2015-11-02,1.155
ES,2015-10-26,1.151
ES,2015-10-19,1.166
ES,2015-10-12,1.178
ES,2015-10-05,1.17
ES,2015-09-28,1.175
ES,2015-09-21,1.179
ES,2015-09-14,1.195
ES,2015-09-07,1.194
ES,2015-08-31,1.184
ES,2015-08-24,1.233
ES,2015-08-17,1.253
ES,2015-08-10,1.272
ES,2015-08-03,1.284
ES,2015-07-27,1.307
ES,2015-07-20,1.321
ES,2015-07-13,1.332
ES,2015-07-06,1.327
ES,2015-06-29,1.325
ES,2015-06-22,1.338
ES,2015-06-15,1.33
ES,2015-06-08,1.323
ES,2015-06-01,1.319
ES,2015-05-25,1.315
ES,2015-05-18,1.311
ES,2015-05-11,1.315
ES,2015-05-04,1.317
ES,2015-04-27,1.308
ES,2015-04-20,1.288
ES,2015-04-13,1.261
ES,2015-03-30,1.267
ES,2015-03-23,1.262
ES,2015-03-16,1.269
ES,2015-03-09,1.259
ES,2015-03-02,1.237
ES,2015-02-23,1.225
ES,2015-02-16,1.209
ES,2015-02-09,1.179
ES,2015-02-02,1.136
ES,2015-01-26,1.121
ES,2015-01-19,1.117
ES,2015-01-12,1.132
ES,2015-01-05,1.151
ES,2014-12-15,1.218
ES,2014-12-08,1.254
ES,2014-12-01,1.294
ES,2014-11-24,1.308
ES,2014-11-17,1.328
ES,2014-11-10,1.331
ES,2014-11-03,1.332
ES,2014-10-27,1.329
ES,2014-10-20,1.352
ES,2014-10-13,1.392
ES,2014-10-06,1.405
ES,2014-09-29,1.402
ES,2014-09-22,1.406
ES,2014-09-15,1.416
ES,2014-09-08,1.417
ES,2014-09-01,1.413
ES,2014-08-25,1.407
ES,2014-08-18,1.414
ES,2014-08-11,1.41
ES,2014-08-04,1.405
ES,2014-07-28,1.424
ES,2014-07-21,1.437
ES,2014-07-14,1.444
ES,2014-07-07,1.452
ES,2014-06-30,1.457
ES,2014-06-23,1.449
ES,2014-06-16,1.428
ES,2014-06-09,1.422
ES,2014-06-02,1.428
ES,2014-05-26,1.424
ES,2014-05-19,1.415
ES,2014-05-12,1.417
ES,2014-05-05,1.428
ES,2014-04-28,1.428
ES,2014-04-14,1.41
ES,2014-04-07,1.4
ES,2014-03-31,1.399
ES,2014-03-24,1.393
ES,2014-03-17,1.392
ES,2014-03-10,1.4
ES,2014-03-03,1.408
ES,2014-02-24,1.402
ES,2014-02-17,1.396
ES,2014-02-10,1.388
ES,2014-02-03,1.387
ES,2014-01-27,1.389
ES,2014-01-20,1.387
ES,2014-01-13,1.395
ES,2014-01-06,1.407
ES,2013-12-16,1.396
ES,2013-12-09,1.405
ES,2013-12-02,1.406
ES,2013-11-25,1.4
ES,2013-11-18,1.391
ES,2013-11-11,1.379
ES,2013-11-04,1.383
ES,2013-10-28,1.399
ES,2013-10-21,1.408
ES,2013-10-14,1.407
ES,2013-10-07,1.411
ES,2013-09-30,1.416
ES,2013-09-23,1.425
ES,2013-09-16,1.454
ES,2013-09-09,1.478
ES,2013-09-02,1.47
ES,2013-08-26,1.457
ES,2013-08-19,1.449
ES,2013-08-12,1.451
ES,2013-08-05,1.458
ES,2013-07-29,1.472
ES,2013-07-22,1.473
ES,2013-07-15,1.451
ES,2013-07-08,1.422
ES,2013-07-01,1.421
FI,2022-09-19,2.012
FI,2022-09-12,2.075
FI,2022-09-05,2.085
FI,2022-08-29,2.122
FI,2022-08-22,2.115
FI,2022-08-15,2.122
FI,2022-08-08,2.164
FI,2022-08-01,2.19
FI,2022-07-25,2.245
FI,2022-07-18,2.307
FI,2022-07-11,2.339
FI,2022-07-04,2.409
FI,2022-06-27,2.523
FI,2022-06-20,2.545
FI,2022-06-13,2.558
FI,2022-06-06,2.499
FI,2022-05-30,2.368
FI,2022-05-23,2.37
FI,2022-05-16,2.257
FI,2022-05-09,2.218
FI,2022-05-02,2.159
FI,2022-04-25,2.174
FI,2022-04-11,2.166
FI,2022-04-04,2.15
FI,2022-03-28,2.144
FI,2022-03-21,2.13
FI,2022-03-14,2.229
FI,2022-03-07,2.095
FI,2022-02-28,1.963
FI,2022-02-21,1.937
FI,2022-02-14,1.929
FI,2022-02-07,1.906
FI,2022-01-31,1.888
FI,2022-01-24,1.892
FI,2022-01-17,1.857
FI,2022-01-10,1.862
FI,2022-01-03,1.875
FI,2021-12-20,1.794
FI,2021-12-13,1.775
FI,2021-12-06,1.818
FI,2021-11-29,1.857
FI,2021-11-22,1.874
FI,2021-11-15,1.864
FI,2021-11-08,1.917
FI,2021-11-01,1.815
FI,2021-10-25,1.807
FI,2021-10-18,1.762
FI,2021-10-11,1.756
FI,2021-10-04,1.738
FI,2021-09-27,1.717
FI,2021-09-20,1.72
FI,2021-09-13,1.723
FI,2021-09-06,1.698
FI,2021-08-30,1.697
FI,2021-08-23,1.712
FI,2021-08-16,1.714
FI,2021-08-09,1.713
FI,2021-08-02,1.707
FI,2021-07-26,1.692
FI,2021-07-19,1.696
FI,2021-07-12,1.698
FI,2021-07-05,1.663
FI,2021-06-28,1.649
FI,2021-06-21,1.638
FI,2021-06-14,1.625
FI,2021-06-07,1.616
FI,2021-05-31,1.632
FI,2021-05-24,1.629
FI,2021-05-17,1.632
FI,2021-05-10,1.628
FI,2021-05-03,1.62
FI,2021-04-26,1.624
FI,2021-04-19,1.62
FI,2021-04-12,1.635
FI,2021-03-29,1.615
FI,2021-03-22,1.616
FI,2021-03-15,1.595
FI,2021-03-08,1.562
FI,2021-03-01,1.552
FI,2021-02-22,1.536
FI,2021-02-15,1.533
FI,2021-02-08,1.521
FI,2021-02-01,1.518
FI,2021-01-25,1.521
FI,2021-01-18,1.507
FI,2021-01-11,1.456
FI,2020-12-21,1.419
FI,2020-12-14,1.4
FI,2020-12-07,1.39
FI,2020-11-30,1.384
FI,2020-11-23,1.391
FI,2020-11-16,1.38
FI,2020-11-09,1.377
FI,2020-11-02,1.425
FI,2020-10-26,1.409
FI,2020-10-19,1.435
FI,2020-10-12,1.435
FI,2020-10-05,1.427
FI,2020-09-28,1.435
FI,2020-09-21,1.426
FI,2020-09-14,1.431
FI,2020-09-07,1.442
FI,2020-08-31,1.442
FI,2020-08-24,1.438
FI,2020-08-17,1.429
FI,2020-08-10,1.439
FI,2020-08-03,1.422
FI,2020-07-27,1.398
FI,2020-07-20,1.39
FI,2020-07-13,1.378
FI,2020-07-06,1.357
FI,2020-06-29,1.36
FI,2020-06-22,1.326
FI,2020-06-15,1.327
FI,2020-06-08,1.307
FI,2020-06-01,1.303
FI,2020-05-25,1.263
