"Date","Price","Open","High","Low","Change %"
"Jan 12, 2014","3.0807","3.0396","3.0837","3.0237","1.48%"
"Jan 05, 2014","3.0359","3.0676","3.0867","3.0348","-1.05%"
"Dec 29, 2013","3.0680","3.0177","3.0718","2.9975","1.65%"
"Dec 22, 2013","3.0181","3.0427","3.0461","2.9886","-0.81%"
"Dec 15, 2013","3.0427","3.0445","3.0616","3.0230","-0.02%"
"Dec 08, 2013","3.0434","3.0495","3.0659","3.0293","-0.36%"
"Dec 01, 2013","3.0545","3.0915","3.1091","3.0512","-1.31%"
"Nov 24, 2013","3.0950","3.0978","3.1131","3.0770","-0.01%"
"Nov 17, 2013","3.0952","3.1058","3.1349","3.0808","-0.26%"
"Nov 10, 2013","3.1032","3.1335","3.1564","3.0967","-0.79%"
"Nov 03, 2013","3.1279","3.1101","3.1528","3.0773","0.47%"
"Oct 27, 2013","3.1132","3.0316","3.1197","3.0236","2.79%"
"Oct 20, 2013","3.0286","3.0509","3.0684","3.0187","-0.62%"
"Oct 13, 2013","3.0474","3.0942","3.1079","3.0446","-1.46%"
"Oct 06, 2013","3.0926","3.0964","3.1155","3.0760","-0.18%"
"Sep 29, 2013","3.0982","3.1205","3.1350","3.0744","-0.79%"
"Sep 22, 2013","3.1229","3.1214","3.1482","3.1164","-0.09%"
"Sep 15, 2013","3.1258","3.1655","3.1777","3.0654","-1.19%"
"Sep 08, 2013","3.1635","3.2530","3.2577","3.1576","-2.57%"
"Sep 01, 2013","3.2471","3.2229","3.2900","3.2127","0.50%"
"Aug 25, 2013","3.2309","3.1580","3.2456","3.1551","2.28%"
"Aug 18, 2013","3.1590","3.1722","3.1940","3.1418","-0.37%"
"Aug 11, 2013","3.1706","3.1406","3.2101","3.1345","1.04%"
"Aug 04, 2013","3.1380","3.1860","3.1969","3.1242","-1.66%"
"Jul 28, 2013","3.1909","3.1836","3.2336","3.1659","0.09%"
"Jul 21, 2013","3.1879","3.2212","3.2300","3.1726","-1.10%"
"Jul 14, 2013","3.2233","3.2875","3.3045","3.2193","-1.98%"
"Jul 07, 2013","3.2885","3.3569","3.3906","3.2617","-1.98%"
"Jun 30, 2013","3.3548","3.3255","3.3668","3.3020","0.97%"
